itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Ciriaco Errasti,futbolari,gizonezkoa,Eibar,,1904-08-08T00:00:00Z
Baltasar Albeniz,futbol entrenatzaile,gizonezkoa,Eibar,,1905-01-06T00:00:00Z
Baltasar Albeniz,futbolari,gizonezkoa,Eibar,,1905-01-06T00:00:00Z
Patxi Usobiaga,arroka-eskalatzaile,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Patxi%20Usobiaga%20Lakunza%202009.JPG,1980-09-07T00:00:00Z
Javier Agirresarobe,argazki-zuzendari,gizonezkoa,Eibar,,1948-10-10T00:00:00Z
Francisco Ibarra,gudari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Durango%20placa%20monumento%20a%20los%20tres%20Durangos.JPG,1539-01-01T00:00:00Z
Francisco Ibarra,esploratzaile,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Durango%20placa%20monumento%20a%20los%20tres%20Durangos.JPG,1539-01-01T00:00:00Z
Martin Ignazio Loiolakoa,misiolari,gizonezkoa,Eibar,,1550-01-01T00:00:00Z
Martin Ignazio Loiolakoa,apaiz katoliko,gizonezkoa,Eibar,,1550-01-01T00:00:00Z
Martin Ignazio Loiolakoa,esploratzaile,gizonezkoa,Eibar,,1550-01-01T00:00:00Z
Juan Antonio Aznárez,apaiz katoliko,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Mons.%20Aznarez%20%2830279528704%29.jpg,1961-01-14T00:00:00Z
Juan Antonio Aznárez,unibertsitateko irakasle,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Mons.%20Aznarez%20%2830279528704%29.jpg,1961-01-14T00:00:00Z
Pizo Gómez,futbolari,gizonezkoa,Eibar,,1964-01-07T00:00:00Z
Aitor Etxaburu,eskubaloi jokalari,gizonezkoa,Eibar,,1966-06-17T00:00:00Z
Aitor Etxaburu,eskubaloi entrenatzaile,gizonezkoa,Eibar,,1966-06-17T00:00:00Z
Regina Otaola,politikari,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/%28Regina%20Otaola%29%20Candidatura%20de%20Isabel%20D%C3%ADaz%20Ayuso%20%2847767094191%29%20%28cropped%29.jpg,1952-02-13T00:00:00Z
Luis Aranberri,politikari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Amati%C3%B1o%202010ean.jpg,1945-09-17T00:00:00Z
Luis Aranberri,kazetari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Amati%C3%B1o%202010ean.jpg,1945-09-17T00:00:00Z
Antonio Bertrán,txirrindulari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Ferrys%20rider%2C%20Tour%20de%20France%201963.jpg,1933-11-19T00:00:00Z
Alexander Albistegi,futbolari,gizonezkoa,Eibar,,1987-07-01T00:00:00Z
Diego Ibarra,esploratzaile,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20de%20Ibarra.jpg,1520-01-01T00:00:00Z
Enrique Zuazua,matematikari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Enrique%20Zuazua%20%28cropped%29.jpeg,1961-09-28T00:00:00Z
Enrique Zuazua,unibertsitateko irakasle,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Enrique%20Zuazua%20%28cropped%29.jpeg,1961-09-28T00:00:00Z
Néstor Susaeta,futbolari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/N%20Susaeta.jpg,1984-12-11T00:00:00Z
Toribio Etxebarria,idazle,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Toribio%20Etxeberria.JPG,1887-04-27T00:00:00Z
Koldo Zuazo,idazle,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Koldo%20Zuazo%20hizkuntzalaria%202011n.jpg,1956-10-20T00:00:00Z
Koldo Zuazo,hizkuntzalari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Koldo%20Zuazo%20hizkuntzalaria%202011n.jpg,1956-10-20T00:00:00Z
