itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Jesús Mosterín,matematikari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Jes%C3%BAs%20Moster%C3%ADn%20%28October%202008%29.jpg,1941-09-24T00:00:00Z
Jesús Mosterín,antropologo,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Jes%C3%BAs%20Moster%C3%ADn%20%28October%202008%29.jpg,1941-09-24T00:00:00Z
Jesús Mosterín,filosofo,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Jes%C3%BAs%20Moster%C3%ADn%20%28October%202008%29.jpg,1941-09-24T00:00:00Z
Pedro Olea,gidoilari,gizonezkoa,Bilbo,,1938-06-30T00:00:00Z
Pedro Olea,zinema zuzendari,gizonezkoa,Bilbo,,1938-06-30T00:00:00Z
Pedro Olea,zinema ekoizle,gizonezkoa,Bilbo,,1938-06-30T00:00:00Z
Félix de los Heros,futbolari,gizonezkoa,Bilbo,,1910-01-21T00:00:00Z
Asier Etxeandia,aktore,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Asier%20Etxeandia.jpg,1975-06-27T00:00:00Z
Asier Etxeandia,abeslari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Asier%20Etxeandia.jpg,1975-06-27T00:00:00Z
Asier Etxeandia,telebista-aktore,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Asier%20Etxeandia.jpg,1975-06-27T00:00:00Z
Ander Herrera,futbolari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/2019-07-17%20SG%20Dynamo%20Dresden%20vs.%20Paris%20Saint-Germain%20by%20Sandro%20Halank%E2%80%93282%20%28cropped%29.jpg,1989-08-14T00:00:00Z
Jose Maria Orue,futbolari,gizonezkoa,Bilbo,,1931-03-17T00:00:00Z
Oskar Vales,futbolari,gizonezkoa,Bilbo,,1974-09-13T00:00:00Z
Andoni Lakabeg,futbolari,gizonezkoa,Bilbo,,1969-02-14T00:00:00Z
Oskar Tabuenka,futbol entrenatzaile,gizonezkoa,Bilbo,,1971-04-24T00:00:00Z
Oskar Tabuenka,futbolari,gizonezkoa,Bilbo,,1971-04-24T00:00:00Z
Jaime Smith Basterra,manager,gizonezkoa,Bilbo,,1965-09-06T00:00:00Z
Javier Salinas,idazle,gizonezkoa,Bilbo,,1972-01-01T00:00:00Z
Javier Salinas,autore,gizonezkoa,Bilbo,,1972-01-01T00:00:00Z
Javier Salinas,legelari-poeta,gizonezkoa,Bilbo,,1972-01-01T00:00:00Z
Joaquín Urkiaga,futbol entrenatzaile,gizonezkoa,Bilbo,,1910-03-29T00:00:00Z
Joaquín Urkiaga,futbolari,gizonezkoa,Bilbo,,1910-03-29T00:00:00Z
Josu Ortuondo,politikari,gizonezkoa,Bilbo,,1948-02-13T00:00:00Z
Juan Xiol Marchal,gidoilari,gizonezkoa,Bilbo,,1921-09-14T00:00:00Z
Juan Xiol Marchal,zinema zuzendari,gizonezkoa,Bilbo,,1921-09-14T00:00:00Z
Juan Antonio Deusto,futbolari,gizonezkoa,Bilbo,,1946-01-08T00:00:00Z
Cesar Solaun,kirol zuzendari,gizonezkoa,Bilbo,,1970-12-29T00:00:00Z
Cesar Solaun,txirrindulari,gizonezkoa,Bilbo,,1970-12-29T00:00:00Z
Miguel Olaortua,apaiz katoliko,gizonezkoa,Bilbo,,1962-11-22T00:00:00Z
Nemesio Tamayo,futbolari,gizonezkoa,Bilbo,,1908-10-25T00:00:00Z
Eduardo Iturralde,futbol arbitro,gizonezkoa,Bilbo,,1967-02-20T00:00:00Z
Ricardo Díez-Hochleitner,politikari,gizonezkoa,Bilbo,,1928-08-11T00:00:00Z
